Time: 2019-Nov-25__15_42_15PM2.5: 0.6  PM10: 2.6
Time: 2019-Nov-25__15_42_17PM2.5: 0.6  PM10: 2.8
Time: 2019-Nov-25__15_42_19PM2.5: 0.6  PM10: 2.5
Time: 2019-Nov-25__15_42_21PM2.5: 0.6  PM10: 2.3
Time: 2019-Nov-25__15_42_23PM2.5: 0.6  PM10: 2.2
Time: 2019-Nov-25__15_42_56PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_42_58PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_43_00PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_43_02PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_43_04PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_43_06PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_43_08PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_43_10PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_43_13PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_43_15PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_43_17PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_43_19PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_43_21PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_43_23PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_43_25PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_43_58PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_44_00PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_44_02PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_44_04PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_44_06PM2.5: 0.2  PM10: 0.3
Time: 2019-Nov-25__15_44_08PM2.5: 0.4  PM10: 0.7
Time: 2019-Nov-25__15_44_10PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_44_13PM2.5: 0.5  PM10: 2.5
Time: 2019-Nov-25__15_44_15PM2.5: 0.5  PM10: 2.2
Time: 2019-Nov-25__15_44_17PM2.5: 0.5  PM10: 2.1
Time: 2019-Nov-25__15_44_19PM2.5: 0.5  PM10: 1.9
Time: 2019-Nov-25__15_44_21PM2.5: 0.6  PM10: 1.9
Time: 2019-Nov-25__15_44_23PM2.5: 0.6  PM10: 1.8
Time: 2019-Nov-25__15_44_25PM2.5: 0.5  PM10: 1.7
Time: 2019-Nov-25__15_44_27PM2.5: 0.5  PM10: 1.6
Time: 2019-Nov-25__15_45_00PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_45_02PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_45_04PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_45_06PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_45_08PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_45_10PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_45_13PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_45_15PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_45_17PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_45_19PM2.5: 0.5  PM10: 0.6
